PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_10000,CumuIR_10000,ppltn_2022
HS00170,Mbare Ardbennie,21,0,0,0,0,7964
HS00172,Mount Pleasant,21,0,2,0,0.400608926,49924
HS00181,Mukuvisi Woodlands,21,2,2,4.84496124,4.84496124,4128
HS00182,New Settlement,21,3,5,1.286670098,2.144450163,23316
HS00188,Sunningdale,21,0,0,0,0,12200
HS00193,Tynwald,21,0,1,0,0.494755591,20212
HS00201,Waterfalls Retreat,21,1,3,0.160709694,0.482129082,62224
HS00203,Waterfalls Mainway Meadows,21,0,0,0,0,45236
HS00205,Westgate,21,1,2,1.033912324,2.067824648,9672
HS00206,Westlea,21,0,0,0,0,16660
HS00207,Southlea Park,21,1,4,0.11188686,0.44754744,89376
HS00211,Southlands,21,0,0,0,0,29732
HS00215,Mbare Magaba,21,0,0,0,0,6080
HS00216,Mbare Shawasha,21,0,0,0,0,736
HS00219,Mbare Annex,21,0,1,0,7.598784195,1316
HS00221,Mbare Matapi,21,0,8,0,126.5822785,632
HS00225,Mbare National,21,3,5,0.996280553,1.660467588,30112
HS00228,Mbare Matererini,21,0,2,0,76.92307692,260
HS00238,Epworth Zinyengere Extension,21,1,1,0.539956803,0.539956803,18520
HS00239,Epworth Glenwood,21,0,0,0,0,12700
HS00248,Manyame Park,21,1,1,0.246014564,0.246014564,40648
HS00251,Zengeza 4,21,1,1,0.281690141,0.281690141,35500
HS00299,Zengeza 3 and 5,21,0,0,0,0,36388
HS00310,Ruwa,21,0,0,0,0,164284
HS00001,Budiriro 5B Ext,22,1,1,0.234213978,0.234213978,42696
HS00002,Budiriro 1,22,18,75,7.441706631,31.00711096,24188
HS00003,Budiriro 3,22,4,13,4.472271914,14.53488372,8944
HS00004,Budiriro 2,22,4,8,3.198976328,6.397952655,12504
HS00005,Budiriro 4,22,0,3,0,3.16722973,9472
HS00006,Budiriro 5A,22,1,5,0.627982919,3.139914594,15924
HS00007,Budiriro 5B,22,3,10,1.506629168,5.022097228,19912
HS00009,Glen Norah A,22,12,23,3.783102144,7.250945776,31720
HS00011,Glen Norah C,22,0,5,0,7.668711656,6520
HS00013,Glen Norah B,22,1,2,0.815660685,1.63132137,12260
HS00014,Glenview 1,22,36,85,16.28664495,38.45457836,22104
HS00015,Glenview 8,22,23,56,13.04742455,31.76764239,17628
HS00017,Glenview 7,22,12,29,3.828972559,9.253350351,31340
HS00018,Glenview 2,22,1,9,1.959247649,17.63322884,5104
HS00019,Glenview 3,22,18,102,9.398496241,53.25814536,19152
HS00020,Glenview 4,22,1,3,2.23015165,6.690454951,4484
HS00021,Old Highfield,22,0,0,0,0,13928
HS00022,Western Triangle,22,1,1,1.775568182,1.775568182,5632
HS00024,Highfield Engineering,22,0,0,0,0,4380
HS00025,Highfield Lusaka,22,0,0,0,0,4396
HS00026,Highfield Paradise,22,0,1,0,3.097893432,3228
HS00027,Highfield Egypt,22,0,0,0,0,5144
HS00029,Highfield New Canaan,22,2,3,2.227171492,3.340757238,8980
HS00034,Rugare,22,0,3,0,4.067245119,7376
HS00042,Kuwadzana - Ext. (phase 4),22,1,1,0.397772474,0.397772474,25140
HS00043,Kuwadzana 7,22,0,1,0,1.75070028,5712
HS00044,Kuwadzana 5,22,0,0,0,0,15700
HS00046,Kuwadzana 2,22,0,0,0,0,5416
HS00047,Kuwadzana 3,22,0,0,0,0,10324
HS00050,Crowborough North,22,0,0,0,0,12808
HS00051,Crowborough North Ext.,22,1,1,1.010509297,1.010509297,9896
HS00055,Southerton Residential,22,0,0,0,0,10552
HS00056,Warren Park D,22,0,1,0,0.659804698,15156
HS00061,Ushewokunze,22,0,2,0,0.189200439,105708
HS00064,Lochinvar,22,0,1,0,0.988142292,10120
HS00065,Mufakose,22,2,3,0.51910299,0.778654485,38528
HS00093,Borrowdale,22,0,4,0,2.437835202,16408
HS00103,Braeside,22,2,3,1.870557426,2.805836139,10692
HS00104,Caledonia,22,1,3,0.068403196,0.205209587,146192
HS00107,Chisipite,22,0,2,0,2.074688797,9640
HS00114,Dzivaresekwa 4,22,0,1,0,3.521126761,2840
HS00118,Dzivaresekwa Ext,22,1,3,0.282709488,0.848128463,35372
HS00119,Eastlea,22,0,1,0,0.914745701,10932
HS00123,Glen Lorne,22,0,0,0,0,19684
HS00124,Glenwood,22,0,1,0,2.306273063,4336
HS00137,Hatcliffe Consortium,22,0,0,0,0,29108
HS00138,Hatcliffe 1,22,1,2,1.03777501,2.075550021,9636
HS00140,Hatfield,22,0,0,0,0,38996
HS00144,Hopely,22,3,7,0.376034094,0.877412885,79780
HS00156,Monavale,22,0,2,0,4.125412541,4848
HS00157,New Mabvuku,22,1,1,0.372411738,0.372411738,26852
HS00159,Mabvuku (Undeveloped),22,1,1,250,250,40
HS00170,Mbare Ardbennie,22,0,0,0,0,7964
HS00172,Mount Pleasant,22,0,2,0,0.400608926,49924
HS00181,Mukuvisi Woodlands,22,0,2,0,4.84496124,4128
HS00182,New Settlement,22,4,9,1.71556013,3.860010293,23316
HS00188,Sunningdale,22,0,0,0,0,12200
HS00193,Tynwald,22,0,1,0,0.494755591,20212
HS00201,Waterfalls Retreat,22,0,3,0,0.482129082,62224
HS00203,Waterfalls Mainway Meadows,22,1,1,0.22106287,0.22106287,45236
HS00205,Westgate,22,1,3,1.033912324,3.101736973,9672
HS00206,Westlea,22,2,2,1.200480192,1.200480192,16660
HS00207,Southlea Park,22,1,5,0.11188686,0.5594343,89376
HS00211,Southlands,22,0,0,0,0,29732
HS00215,Mbare Magaba,22,0,0,0,0,6080
HS00216,Mbare Shawasha,22,0,0,0,0,736
HS00219,Mbare Annex,22,1,2,7.598784195,15.19756839,1316
HS00221,Mbare Matapi,22,3,11,47.46835443,174.0506329,632
HS00225,Mbare National,22,1,6,0.332093518,1.992561105,30112
HS00228,Mbare Matererini,22,1,3,38.46153846,115.3846154,260
HS00238,Epworth Zinyengere Extension,22,0,1,0,0.539956803,18520
HS00239,Epworth Glenwood,22,0,0,0,0,12700
HS00248,Manyame Park,22,1,2,0.246014564,0.492029128,40648
HS00251,Zengeza 4,22,0,1,0,0.281690141,35500
HS00299,Zengeza 3 and 5,22,0,0,0,0,36388
HS00310,Ruwa,22,0,0,0,0,164284
HS00001,Budiriro 5B Ext,23,0,1,0,0.234213978,42696
HS00002,Budiriro 1,23,10,85,4.134281462,35.14139243,24188
HS00003,Budiriro 3,23,3,16,3.354203936,17.88908766,8944
HS00004,Budiriro 2,23,4,12,3.198976328,9.596928983,12504
HS00005,Budiriro 4,23,4,7,4.222972973,7.390202703,9472
HS00006,Budiriro 5A,23,1,6,0.627982919,3.767897513,15924
HS00007,Budiriro 5B,23,5,15,2.511048614,7.533145842,19912
HS00009,Glen Norah A,23,11,34,3.467843632,10.71878941,31720
HS00011,Glen Norah C,23,0,5,0,7.668711656,6520
HS00013,Glen Norah B,23,3,5,2.446982055,4.078303426,12260
HS00014,Glenview 1,23,25,110,11.3101701,49.76474846,22104
HS00015,Glenview 8,23,16,72,9.076469253,40.84411164,17628
HS00017,Glenview 7,23,16,45,5.105296745,14.3586471,31340
HS00018,Glenview 2,23,6,15,11.75548589,29.38871473,5104
HS00019,Glenview 3,23,12,114,6.26566416,59.52380952,19152
HS00020,Glenview 4,23,0,3,0,6.690454951,4484
HS00021,Old Highfield,23,0,0,0,0,13928
